"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
China,81394,54.0,3295.0,3.0,74971.0,3128,886.0,57.0,2.0
USA,104205,79.0,1701.0,5.0,2525.0,99979,2494.0,315.0,5.0
Italy,86498,,9134.0,,10950.0,66414,3732.0,1431.0,151.0
Spain,65719,,5138.0,,9357.0,51224,4165.0,1406.0,110.0
Germany,50871,,351.0,,6658.0,43862,1581.0,607.0,4.0
France,32964,,1995.0,,5700.0,25269,3787.0,505.0,31.0
Iran,32332,,2378.0,,11133.0,18821,2893.0,385.0,28.0
UK,14543,,759.0,,135.0,13649,163.0,214.0,11.0
Switzerland,12928,,231.0,,1530.0,11167,203.0,1494.0,27.0
S. Korea,9478,146.0,144.0,5.0,4811.0,4523,59.0,185.0,3.0
Netherlands,8603,,546.0,,3.0,8054,761.0,502.0,32.0
Austria,7697,,58.0,,225.0,7414,128.0,855.0,6.0
Belgium,7284,,289.0,,858.0,6137,690.0,628.0,25.0
Turkey,5698,,92.0,,42.0,5564,241.0,68.0,1.0
Canada,4757,,55.0,,354.0,4348,120.0,126.0,1.0
Portugal,4268,,76.0,,43.0,4149,71.0,419.0,7.0
Norway,3771,,19.0,,7.0,3745,70.0,696.0,4.0
Australia,3573,195.0,14.0,1.0,170.0,3389,23.0,140.0,0.5
Brazil,3477,60.0,93.0,1.0,6.0,3378,296.0,16.0,0.4
Sweden,3069,,105.0,,16.0,2948,214.0,304.0,10.0
Israel,3035,,12.0,,79.0,2944,49.0,351.0,1.0
Czechia,2279,,9.0,,11.0,2259,34.0,213.0,0.8
Malaysia,2161,,26.0,,259.0,1876,54.0,67.0,0.8
Ireland,2121,,22.0,,5.0,2094,59.0,430.0,4.0
Denmark,2046,,52.0,,1.0,1993,109.0,353.0,9.0
Ecuador,1627,,41.0,,3.0,1583,58.0,92.0,2.0
Chile,1610,,5.0,,43.0,1562,7.0,84.0,0.3
Luxembourg,1605,,15.0,,40.0,1550,25.0,2564.0,24.0
Japan,1499,,49.0,,372.0,1078,56.0,12.0,0.4
Poland,1389,,16.0,,7.0,1366,3.0,37.0,0.4
Pakistan,1373,,11.0,,23.0,1339,7.0,6.0,0.05
Romania,1292,,26.0,,115.0,1151,32.0,67.0,1.0
South Africa,1170,,1.0,,31.0,1138,7.0,20.0,0.02
Thailand,1136,,5.0,,97.0,1034,11.0,16.0,0.07
Saudi Arabia,1104,,3.0,,35.0,1066,6.0,32.0,0.09
Indonesia,1046,,87.0,,46.0,913,,4.0,0.3
Finland,1041,,7.0,,10.0,1024,32.0,188.0,1.0
Russia,1036,,4.0,,45.0,987,8.0,7.0,0.03
Greece,966,,28.0,,52.0,886,66.0,93.0,3.0
Iceland,890,,2.0,,97.0,791,18.0,2608.0,6.0
India,887,,20.0,,73.0,794,,0.6,0.01
Philippines,803,,54.0,,31.0,718,1.0,7.0,0.5
Panama,786,,14.0,,2.0,770,20.0,182.0,3.0
Singapore,732,,2.0,,183.0,547,17.0,125.0,0.3
Mexico,717,132.0,12.0,4.0,4.0,701,1.0,6.0,0.09
Diamond Princess,712,,10.0,,597.0,105,15.0,,
Argentina,690,101.0,17.0,4.0,72.0,601,,15.0,0.4
Peru,635,,11.0,,16.0,608,21.0,19.0,0.3
Slovenia,632,,9.0,,10.0,613,14.0,304.0,4.0
Croatia,586,,3.0,,37.0,546,14.0,143.0,0.7
Dominican Republic,581,,20.0,,3.0,558,,54.0,2.0
Estonia,575,,1.0,,11.0,563,7.0,433.0,0.8
Qatar,562,,,,43.0,519,6.0,195.0,
Colombia,539,,6.0,,10.0,523,,11.0,0.1
Egypt,536,,30.0,,116.0,390,,5.0,0.3
Serbia,528,,8.0,,42.0,478,25.0,60.0,0.9
Hong Kong,519,,4.0,,111.0,404,5.0,69.0,0.5
Bahrain,466,,4.0,,227.0,235,1.0,274.0,2.0
Iraq,458,,40.0,,122.0,296,,11.0,1.0
New Zealand,451,83.0,,,50.0,401,2.0,94.0,
Algeria,409,,26.0,,29.0,354,,9.0,0.6
UAE,405,,2.0,,52.0,351,2.0,41.0,0.2
Lebanon,391,,8.0,,27.0,356,3.0,57.0,1.0
Lithuania,358,,5.0,,1.0,352,2.0,132.0,2.0
Morocco,345,,23.0,,11.0,311,1.0,9.0,0.6
Armenia,329,,1.0,,28.0,300,6.0,111.0,0.3
Ukraine,310,,5.0,,5.0,300,,7.0,0.1
Hungary,300,,10.0,,34.0,256,6.0,31.0,1.0
Bulgaria,293,,3.0,,9.0,281,8.0,42.0,0.4
Latvia,280,,,,1.0,279,,148.0,
Uruguay,274,36.0,,,,274,8.0,79.0,
Slovakia,269,,,,2.0,267,1.0,49.0,
Andorra,267,,3.0,,1.0,263,11.0,3456.0,39.0
Taiwan,267,,2.0,,30.0,235,,11.0,0.08
Costa Rica,263,,2.0,,3.0,258,5.0,52.0,0.4
Bosnia and Herzegovina,237,,4.0,,5.0,228,1.0,72.0,1.0
Jordan,235,,1.0,,18.0,216,,23.0,0.1
Tunisia,227,,7.0,,2.0,218,10.0,19.0,0.6
Kuwait,225,,,,57.0,168,11.0,53.0,
San Marino,223,,21.0,,6.0,196,15.0,6572.0,619.0
North Macedonia,219,,3.0,,3.0,213,1.0,105.0,1.0
Moldova,199,,2.0,,2.0,195,33.0,49.0,0.5
Albania,186,,8.0,,31.0,147,3.0,65.0,3.0
Burkina Faso,180,,9.0,,12.0,159,,9.0,0.4
Vietnam,169,6.0,,,20.0,149,3.0,2.0,
Azerbaijan,165,,3.0,,15.0,147,6.0,16.0,0.3
Cyprus,162,,5.0,,15.0,142,3.0,134.0,4.0
Kazakhstan,150,,1.0,,3.0,146,,8.0,0.05
Réunion,145,,,,1.0,144,,162.0,
Faeroe Islands,144,,,,54.0,90,2.0,2947.0,
Malta,139,,,,2.0,137,1.0,315.0,
Ghana,137,,4.0,,2.0,131,1.0,4.0,0.1
Oman,131,,,,23.0,108,,26.0,
Senegal,119,,,,11.0,108,,7.0,
Brunei,115,,1.0,1.0,11.0,103,1.0,263.0,2.0
Venezuela,113,,2.0,,31.0,80,2.0,4.0,0.07
Afghanistan,110,,4.0,,2.0,104,,3.0,0.1
Sri Lanka,106,,,,7.0,99,5.0,5.0,
Ivory Coast,101,,,,3.0,98,,4.0,
Cambodia,99,,,,13.0,86,1.0,6.0,
Honduras,95,27.0,1.0,,3.0,91,4.0,10.0,0.1
Mauritius,94,,2.0,,,92,1.0,74.0,2.0
Belarus,94,,,,32.0,62,2.0,10.0,
Martinique,93,,1.0,,,92,12.0,248.0,3.0
Cameroon,91,,2.0,,2.0,87,,3.0,0.08
Palestine,91,,1.0,,17.0,73,,18.0,0.2
Channel Islands,88,,1.0,,,87,,506.0,6.0
Uzbekistan,88,,1.0,,5.0,82,8.0,3.0,0.03
Georgia,83,,,,14.0,69,1.0,21.0,
Montenegro,82,,1.0,,,81,1.0,131.0,2.0
Cuba,80,,2.0,,4.0,74,2.0,7.0,0.2
Bolivia,74,13.0,,,,74,,6.0,
Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
Nigeria,70,,1.0,,3.0,66,,0.3,0.0
Trinidad and Tobago,66,,2.0,,1.0,63,,47.0,1.0
Kyrgyzstan,58,,,,,58,,9.0,
Paraguay,56,4.0,3.0,,1.0,52,1.0,8.0,0.4
Liechtenstein,56,,,,,56,,1469.0,
Gibraltar,55,,,,14.0,41,,1632.0,
Rwanda,54,,,,,54,,4.0,
DRC,51,,3.0,,2.0,46,,0.6,0.03
Mayotte,50,,,,,50,,183.0,
Bangladesh,48,,5.0,,11.0,32,1.0,0.3,0.03
Monaco,42,,,,1.0,41,,1070.0,
Macao,34,,,,10.0,24,,52.0,
Aruba,33,,,,1.0,32,,309.0,
Guatemala,32,4.0,1.0,,4.0,27,1.0,2.0,0.06
Kenya,31,,1.0,,1.0,29,2.0,0.6,0.02
Jamaica,30,4.0,1.0,,2.0,27,,10.0,0.3
French Polynesia,30,,,,,30,,107.0,
Isle of Man,29,,,,,29,,341.0,
French Guiana,28,,,,6.0,22,,94.0,
Barbados,26,,,,,26,,90.0,
Madagascar,26,,,,,26,,0.9,
Togo,25,,1.0,,1.0,23,,3.0,0.1
Uganda,23,,,,,23,,0.5,
Zambia,22,,,,,22,,1.0,
El Salvador,19,6.0,,,,19,,3.0,
Bermuda,17,,,,2.0,15,,273.0,
Ethiopia,16,,,,,16,,0.1,
Maldives,16,,,,9.0,7,,30.0,
New Caledonia,15,,,,,15,,53.0,
Tanzania,13,,,,1.0,12,,0.2,
Djibouti,12,,,,,12,,12.0,
Equatorial Guinea,12,,,,,12,,9.0,
Mongolia,12,1.0,,,,12,,4.0,
Dominica,11,,,,,11,,153.0,
Mali,11,,,,,11,,0.5,
Saint Martin,11,,,,,11,,284.0,
Niger,10,,1.0,,,9,,0.4,0.04
Bahamas,10,,,,1.0,9,,25.0,
Greenland,10,,,,2.0,8,,176.0,
Eswatini,9,,,,,9,,8.0,
Cayman Islands,8,,1.0,,,7,,122.0,15.0
Curaçao,8,,1.0,,2.0,5,,49.0,6.0
Guinea,8,,,,,8,,0.6,
Haiti,8,,,,,8,,0.7,
Myanmar,8,,,,,8,,0.1,
Namibia,8,,,,2.0,6,,3.0,
Suriname,8,,,,,8,,14.0,
Gabon,7,,1.0,,,6,,3.0,0.4
Antigua and Barbuda,7,,,,,7,,71.0,
Grenada,7,,,,,7,,62.0,
Mozambique,7,,,,,7,,0.2,
Seychelles,7,,,,,7,,71.0,
Benin,6,,,,,6,,0.5,
Eritrea,6,,,,,6,,2.0,
Laos,6,,,,,6,,0.8,
Cabo Verde,5,,1.0,,,4,,9.0,2.0
Guyana,5,,1.0,,,4,,6.0,1.0
Sudan,5,2.0,1.0,,,4,,0.1,0.02
Zimbabwe,5,,1.0,,,4,,0.3,0.07
Fiji,5,,,,,5,,6.0,
Mauritania,5,2.0,,,,5,,1.0,
Montserrat,5,,,,,5,,1002.0,
St. Barth,5,,,,,5,,506.0,
Syria,5,,,,,5,,0.3,
Nicaragua,4,,1.0,,,3,,0.6,0.2
Nepal,4,,,,1.0,3,,0.1,
Angola,4,,,,,4,,0.1,
Congo,4,,,,,4,,0.7,
Vatican City,4,,,,,4,,4994.0,
Gambia,3,,1.0,,,2,,1.0,0.4
Bhutan,3,,,,,3,,4.0,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Saint Lucia,3,,,,1.0,2,,16.0,
Sint Maarten,3,,,,,3,,70.0,
Somalia,3,,,,,3,,0.2,
MS Zaandam,2,,,,,2,,,
Anguilla,2,,,,,2,,133.0,
Belize,2,,,,,2,,5.0,
British Virgin Islands,2,,,,,2,,66.0,
Guinea-Bissau,2,,,,,2,,1.0,
Saint Kitts and Nevis,2,,,,,2,,38.0,
Turks and Caicos,2,,,,,2,,52.0,
Libya,1,,,,,1,,0.1,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9.0,
Timor-Leste,1,,,,,1,,0.8,
